標題,表格id,處理後資料集名稱,存於metadata_index,存於資料庫,處理後存於資料庫
農地空間圖(農地生產力等級),1020001,,True,True,False
農地空間圖(農地重要性等級),1020002,,True,True,False
農地空間圖(作物適栽等級圖),1020003,,True,True,False
農地空間圖(土壤調查),1020004,,True,True,False
全國單日平均糧價,1040001,,True,True,False
各觀測站近兩年降雨量,1040002,,True,True,False
產銷履歷與有機蔬果行情,1040003,,True,True,False
糧價查詢,1040004,,True,True,False
臺灣地區果品生產概況,1040005,,True,True,False
臺灣地區特用作物生產概況,1040006,,True,True,False
臺灣地區稻作種植、收穫面積及產量,1040007,,True,True,False
臺灣地區稻米生產價值,1040008,,True,True,False
臺灣地區蔬菜生產概況,1040009,,True,True,False
臺灣地區農產品生產量值,1040010,,True,True,False
農情調查,1040011,,True,True,False
農產品交易行情,1040012,,True,True,False
農產品產地價格(月平均價格),1040013,,True,True,False
農產品產地價格資料,1040014,,True,True,False
雜糧生產概況,1040015,,True,True,False
農作物統一代碼與農業相關系統之農作物代碼對應,1040016,,True,True,False
農作物統一名稱與代碼,1040017,,True,True,False
,all_sort_configs,,False,True,False
,files,,False,True,False
,record_files,,False,True,False
,refer_skip_value,,False,True,False
